incident_state	date	transportation	serious_incident	latitude	longitude
LA	1989-07-16	H	0	29.9510658	-90.0715323
NY	1989-07-20	H	0	41.4839827	-74.2176487
CO	1989-07-22	H	0	39.7392358	-104.990251
WV	1989-07-29	H	0	38.13889	-81.14722
IL	1989-08-01	H	0	41.7641723	-87.7812524
IL	1989-08-04	H	0	41.7641723	-87.7812524
WA	1989-08-07	H	0	47.6062095	-122.3320708
WA	1989-08-08	H	0	47.6062095	-122.3320708
IL	1989-08-11	H	0	41.7641723	-87.7812524
IL	1989-08-11	H	0	41.7641723	-87.7812524
WA	1989-08-14	H	0	47.6062095	-122.3320708
IL	1989-08-17	H	0	41.7641723	-87.7812524
ID	1989-08-17	H	0	43.6724119	-111.9149681
IL	1989-08-21	H	0	41.7641723	-87.7812524
WI	1989-08-22	H	0	43.1633426	-87.9645321
AL	1989-08-25	H	0	32.3668052	-86.2999689
MO	1989-08-25	H	0	37.2683802	-93.1171264
FL	1989-08-27	H	0	29.6516344	-82.3248262
WI	1989-08-28	H	0	42.8858503	-87.8631362
OH	1989-08-29	H	0	39.9611755	-82.9987942
MO	1989-08-29	R	0	39.5866619	-95.0260781
MO	1989-08-29	R	0	39.5486069	-95.0463556
WA	1989-08-29	H	0	47.6062095	-122.3320708
TX	1989-08-31	H	0	33.1567863	-94.968269
CO	1989-09-02	H	0	39.7392358	-104.990251
MS	1989-09-05	H	0	30.3657552	-88.5561272
IL	1989-09-14	R	1	39.7967015	-87.8686414
VA	1989-09-15	R	0	37.5407246	-77.4360481
IL	1989-09-18	H	0	41.931696	-87.9889556
MN	1989-09-21	H	0	45.1607987	-93.2349489
NJ	1989-09-22	R	0	40.735657	-74.1723667
NJ	1989-09-22	R	0	40.735657	-74.1723667
WI	1989-09-26	H	0	42.8858503	-87.8631362
PA	1989-10-12	H	0	40.1350928	-76.8596945
IL	1989-10-12	H	0	41.931696	-87.9889556
TX	1989-10-13	H	0	29.6910625	-95.2091006
IL	1989-10-19	H	0	41.506146	-87.6355995
TN	1989-10-25	R	0	35.0456297	-85.3096801
IL	1989-10-25	H	0	42.2649463	-89.0899292
CA	1989-10-25	H	0	38.5815719	-121.4943996
IL	1989-10-29	R	0	39.8403147	-88.9548001
PA	1989-10-31	H	0	40.1350928	-76.8596945
OH	1989-11-01	A	0	39.7589478	-84.1916069
IL	1989-11-01	H	0	41.7641723	-87.7812524
OH	1989-11-08	H	0	39.8814519	-83.0929644
IL	1989-11-10	H	0	42.2649463	-89.0899292
WI	1989-11-10	H	0	43.1633426	-87.9645321
VA	1989-11-25	R	0	37.5407246	-77.4360481
TN	1989-12-14	R	0	35.8271682	-83.5070203
OK	1989-12-14	H	0	35.4675602	-97.5164276
AL	1989-12-22	R	0	33.5206608	-86.80249
IL	1989-12-26	H	0	41.931696	-87.9889556
FL	1990-01-04	H	0	28.5383355	-81.3792365
TN	1990-01-18	R	0	35.7328541	-84.3338112
IL	1990-01-19	H	0	41.7641723	-87.7812524
IA	1990-01-22	H	0	41.6005448	-93.6091064
CA	1990-01-26	H	0	38.5804609	-121.530234
WI	1990-02-01	H	0	42.8858503	-87.8631362
AZ	1990-02-05	H	0	33.4483771	-112.0740373
LA	1990-02-06	H	0	30.4582829	-91.1403196
IL	1990-02-12	H	0	41.7641723	-87.7812524
MO	1990-02-22	H	0	39.0997265	-94.5785667
IL	1990-02-23	H	0	41.9348537	-87.879523
DE	1990-02-23	H	0	39.6837226	-75.7496572
WI	1990-02-26	H	0	43.0430678	-88.078978
IL	1990-02-27	H	0	41.9348537	-87.879523
OH	1990-03-08	H	0	39.8814519	-83.0929644
CA	1990-03-10	H	0	34.5827699	-117.409215
DE	1990-03-14	H	0	39.6620397	-75.5668166
CA	1990-03-14	H	0	37.7749295	-122.4194155
PA	1990-03-15	H	0	39.9525839	-75.1652215
IL	1990-03-19	H	0	41.7641723	-87.7812524
CO	1990-03-21	H	0	39.2638762	-103.6921737
IL	1990-04-04	H	0	41.9348537	-87.879523
IA	1990-04-19	H	0	42.4999942	-96.4003069
NY	1990-04-20	H	0	42.9026136	-78.744572
PA	1990-04-20	H	0	40.1350928	-76.8596945
MI	1990-05-09	H	0	42.331427	-83.0457538
OH	1990-05-12	H	0	39.7589478	-84.1916069
LA	1990-05-14	R	0	29.9510658	-90.0715323
IL	1990-05-15	H	0	42.1103041	-88.03424
AR	1990-06-01	H	0	34.7464809	-92.2895948
CA	1990-06-13	H	0	33.8883487	-118.3089624
TX	1990-06-15	H	0	29.7604267	-95.3698028
MO	1990-06-17	H	0	38.6270025	-90.1994042
IL	1990-06-18	H	0	41.931696	-87.9889556
CA	1990-06-20	H	0	34.3058279	-118.4571974
MN	1990-06-22	H	0	45.0791325	-93.1471667
CO	1990-06-27	H	0	39.7392358	-104.990251
FL	1990-07-03	H	0	25.8575963	-80.2781057
AZ	1990-07-05	H	0	33.4483771	-112.0740373
CA	1990-07-06	H	0	38.232417	-122.6366524
CA	1990-07-07	H	0	34.3058279	-118.4571974
NJ	1990-07-16	H	0	39.830391	-75.2404607
FL	1990-07-16	H	0	27.950575	-82.4571776
